"diete"	"gain"
"ble"	17.37125111
"ble"	16.81488903
"ble"	18.0818374
"ble"	15.78174829
"ble"	17.70656456
"ble"	18.22716932
"ble"	16.08650292
"ble"	17.60183606
"ble"	20.78861134
"ble"	20.00857817
"ble"	19.3028731
"ble"	18.57330111
"ble"	19.54687993
"ble"	17.96440085
"ble"	21.43738428
"ble"	19.60762695
"avoine"	19.36091974
"avoine"	20.64937883
"avoine"	19.60614794
"avoine"	19.03556747
"avoine"	21.56472896
"avoine"	20.25976458
"avoine"	19.20455035
"avoine"	20.9456156
"avoine"	21.14743401
"avoine"	23.00609369
"avoine"	21.90279279
"avoine"	21.38461774
"avoine"	23.58744105
"avoine"	22.3151736
"avoine"	22.37652558
"avoine"	24.91439495
"orge"	23.82941658
"orge"	23.75687731
"orge"	21.34872954
"orge"	20.92947123
"orge"	24.69354073
"orge"	24.32012743
"orge"	22.02811202
"orge"	22.1448196
"orge"	24.62987793
"orge"	23.08774445
"orge"	27.79490195
"orge"	26.78868607
"orge"	26.04248312
"orge"	25.28337056
"orge"	25.03889345
"orge"	29.02916349
