Note	Type
36.36	aide
37.7	aide
35.75	aide
35.92	aide
36.24	aide
36.04	aide
37.17	aide
35.65	aide
37.57	aide
36.49	aide
36.1	aide
37.22	aide
36.32	aide
37.55	aide
36.9	aide
37.86	aide
36.52	aide
36.03	aide
34.66	aide
36.22	aide
34.97	aide
39.05	aide
35.42	aide
35.08	aide
36.92	aide
37.28	aide
35.6	aide
36	aide
36.26	aide
37.67	aide
19.2	temoins
21.21	temoins
18.78	temoins
20	temoins
20.73	temoins
19.5	temoins
20.18	temoins
20.06	temoins
20.12	temoins
19.98	temoins
19.31	temoins
19.41	temoins
17.66	temoins
18.21	temoins
19.88	temoins
20.88	temoins
20.15	temoins
21.88	temoins
19.21	temoins
20.76	temoins
21.06	temoins
18.89	temoins
19.24	temoins
19.92	temoins
18.97	temoins
20.96	temoins
18.97	temoins
21.26	temoins
19.99	temoins
21.23	temoins
