Temps	Dose
15.998507	faible
12.53966662	faible
3.017423556	faible
7.621694658	faible
22.27475895	faible
24.97194915	faible
3.670429149	faible
10.11064449	faible
2.221078263	faible
11.49860734	faible
58.68213895	faible
38.74252406	faible
11.7531317	faible
51.15875516	faible
38.0791982	faible
17.41299419	faible
4.973219279	moyenne
12.37674784	moyenne
47.49505092	moyenne
27.92644892	moyenne
7.647870445	moyenne
1.136161862	moyenne
6.959870547	moyenne
1.23013826	moyenne
3.427264339	moyenne
9.990215198	moyenne
6.854692701	moyenne
5.492642162	moyenne
13.8444827	moyenne
11.53589368	moyenne
1.691323663	moyenne
14.24583696	moyenne
10.61512222	elevee
4.145034666	elevee
0.633856752	elevee
0.592966583	elevee
5.126917874	elevee
0.402160465	elevee
2.249138353	elevee
1.519109661	elevee
12.2296298	elevee
1.329690414	elevee
1.228267891	elevee
9.037374345	elevee
1.039580863	elevee
3.207274777	elevee
4.388687393	elevee
2.313009712	elevee
